Ablesezeitpunkt;Zaehlerstand Einheitstarif;Zaehlerstand Hochtarif;Zaehlerstand Niedertarif;Verbrauch Einheitstarif;Verbrauch Hochtarif;Verbrauch Niedertarif
2023-01-01T00:00:00.000+01:00;2123,111;0;0;6419;0;0
2023-01-02T00:00:00.000+01:00;2129,401;0;0;6290;0;0
2023-01-03T00:00:00.000+01:00;2135,028;0;0;5627;0;0
2023-01-04T00:00:00.000+01:00;2139,98;0;0;4952;0;0
2023-01-05T00:00:00.000+01:00;2144,119;0;0;4139;0;0
2023-01-06T00:00:00.000+01:00;2146,002;0;0;1883;0;0
2023-01-07T00:00:00.000+01:00;2152,829;0;0;6827;0;0
2023-01-08T00:00:00.000+01:00;2158,952;0;0;6123;0;0
2023-01-09T00:00:00.000+01:00;2164,482;0;0;5530;0;0
2023-01-10T00:00:00.000+01:00;2170,102;0;0;5620;0;0
2023-01-11T00:00:00.000+01:00;2173,814;0;0;3712;0;0
2023-01-12T00:00:00.000+01:00;2176,635;0;0;2821;0;0
2023-01-13T00:00:00.000+01:00;2182,632;0;0;5997;0;0
2023-01-14T00:00:00.000+01:00;2190,139;0;0;7507;0;0
2023-01-15T00:00:00.000+01:00;2197,301;0;0;7162;0;0
2023-01-16T00:00:00.000+01:00;2200,372;0;0;3071;0;0
2023-01-17T00:00:00.000+01:00;2208,142;0;0;7770;0;0
2023-01-18T00:00:00.000+01:00;2214,057;0;0;5915;0;0
2023-01-19T00:00:00.000+01:00;2218,225;0;0;4168;0;0
2023-01-20T00:00:00.000+01:00;2223,869;0;0;5644;0;0
2023-01-21T00:00:00.000+01:00;2227,353;0;0;3484;0;0
2023-01-22T00:00:00.000+01:00;2233,658;0;0;6305;0;0
2023-01-23T00:00:00.000+01:00;2239,61;0;0;5952;0;0
2023-01-24T00:00:00.000+01:00;2245,625;0;0;6015;0;0
2023-01-25T00:00:00.000+01:00;2250,427;0;0;4802;0;0
2023-01-26T00:00:00.000+01:00;2255,259;0;0;4832;0;0
2023-01-27T00:00:00.000+01:00;2259,209;0;0;3950;0;0
2023-01-28T00:00:00.000+01:00;2262,168;0;0;2959;0;0
2023-01-29T00:00:00.000+01:00;2267,832;0;0;5664;0;0
2023-01-30T00:00:00.000+01:00;2272,099;0;0;4267;0;0
2023-01-31T00:00:00.000+01:00;2279,638;0;0;7539;0;0
2023-02-01T00:00:00.000+01:00;2284,763;0;0;5125;0;0
2023-02-02T00:00:00.000+01:00;2291,439;0;0;6676;0;0
2023-02-03T00:00:00.000+01:00;2294,597;0;0;3158;0;0
2023-02-04T00:00:00.000+01:00;2297,011;0;0;2414;0;0
2023-02-05T00:00:00.000+01:00;2301,833;0;0;4822;0;0
2023-02-06T00:00:00.000+01:00;2306,959;0;0;5126;0;0
2023-02-07T00:00:00.000+01:00;2311,077;0;0;4118;0;0
2023-02-08T00:00:00.000+01:00;2316,307;0;0;5230;0;0
2023-02-09T00:00:00.000+01:00;2320,29;0;0;3983;0;0
2023-02-10T00:00:00.000+01:00;2323,222;0;0;2932;0;0
2023-02-11T00:00:00.000+01:00;2328,94;0;0;5718;0;0
2023-02-12T00:00:00.000+01:00;2335,578;0;0;6638;0;0
2023-02-13T00:00:00.000+01:00;2346,769;0;0;11191;0;0
2023-02-14T00:00:00.000+01:00;2350,263;0;0;3494;0;0
2023-02-15T00:00:00.000+01:00;2353,896;0;0;3633;0;0
2023-02-16T00:00:00.000+01:00;2358,053;0;0;4157;0;0
2023-02-17T00:00:00.000+01:00;2361,749;0;0;3696;0;0
2023-02-18T00:00:00.000+01:00;2365,333;0;0;3584;0;0
2023-02-19T00:00:00.000+01:00;2369,938;0;0;4605;0;0
2023-02-20T00:00:00.000+01:00;2375,648;0;0;5710;0;0
2023-02-21T00:00:00.000+01:00;2380,965;0;0;5317;0;0
2023-02-22T00:00:00.000+01:00;2386,068;0;0;5103;0;0
2023-02-23T00:00:00.000+01:00;2391,231;0;0;5163;0;0
